UNIDAD;COMUNIDAD AUTONOMA;PROVINCIA;LOCALIDAD;DOMICILIO;CODIGO POSTAL;TELEFONO;OBSERVACIONES;
I.A.E. DE CUENCA;CASTILLA LA MANCHA;CUENCA;CUENCA;C/ DE LA GUARDIA CIVIL, 15;;969220500;cu-cmd-cuenca-ia@guardiacivil.org;
TARANCON;CASTILLA LA MANCHA;CUENCA;TARANCON;C/JUAN CARLOS I, 65;;969320900;CU-CIA-TARANCON-IA@GUARDIACIVIL.ORG;
MOTILLA DEL PALANCAR;CASTILLA LA MANCHA;CUENCA;MOTILLA DEL PALANCAR;C/MADRID, 15;;969331110; cu-cia-motillapalancar-ia@guardiacivil.org;
ZONA DE EXTREMADURA;EXTREMADURA;BADAJOZ;BADAJOZ;C/ JUAN A. CANSINOS RIOBOO, 2 EXT.-105-319;;924205750;ba-zon-badajoz-ia@guardiacivil.org;
I.A.E. DE BADAJOZ;EXTREMADURA;BADAJOZ;BADAJOZ;C/ JUAN A. CANSINOS RIOBOO, 2;;924205750;ba-cmd-badajoz-ia@guardiacivil.org ;
MONTIJO;EXTREMADURA;BADAJOZ;MONTIJO;C/VIRGEN DE BARBA�OS, 88;;924450170;ba-ia-montijo@guardiacivil.org;
MERIDA;EXTREMADURA;BADAJOZ;MERIDA;CALLE MARCO AGRIPA, 45;;924373751; ba-ia-merida@guardiacivil.org ;
ALMENDRALEJO;EXTREMADURA;BADAJOZ;ALMENDRALEJO;C/LABRADOR, 4;;924677072;ba-ia-almendralejo@guardiacivil.org ;
VILLANUEVA DE LA SERENA;EXTREMADURA;BADAJOZ;VILLANUEVA DE LA SERENA;AVDA. CHILE, 27;;924846038;ba-cia-villanuevaserena-ia@guardiacivil.org;
CASTUERA;EXTREMADURA;BADAJOZ;CASTUERA;C/DUQUE DE AHUMADA, 1;;924772344;ba-ia-castuera@guardiacivil.org;
TALARRUBIAS;EXTREMADURA;BADAJOZ;TALARRUBIAS;AVDA. CONSTITUCION, 111;;924630007;ba-iae-talarrubias@guardiacivil.org;
LLERENA;EXTREMADURA;BADAJOZ;LLERENA;AVDA. CORDOBA, 11;;924873819;ba-cia-llerena-ia@guardiacivil.org;
ZAFRA;EXTREMADURA;BADAJOZ;ZAFRA;C/LOPEZ ASME, 9;;924550124;ba-cia-zafra-ia@guardiacivil.org;
JEREZ DE LOS CABALLEROS;EXTREMADURA;BADAJOZ;JEREZ DE LOS CABALLEROS;CRTA. VILLANUEVA, 29;;924751993;ba-cia-jerezcaballeros-ia@guardiacivil.org ;
OLIVENZA;EXTREMADURA;BADAJOZ;OLIVENZA;AVDA. VILLARREAL, S/N;;924492820;ba-ia-olivenza@guardiacivil.org;
I.A.E. DE CACERES;EXTREMADURA;CACERES;CACERES;AVD� UNIVERSIDAD, N�M. 50;;927628150;cc-cmd-caceres-ia@guardiacivil.org;
TRUJILLO;EXTREMADURA;CACERES;TRUJILLO;C/CAMPOS SAN JUAN, S/N;;927321004;cc-cia-trujillo-iae@guardiacivil.org;
GUADALUPE;EXTREMADURA;CACERES;GUADALUPE;C/FEDERICO GONZALEZ PLAZA, 23;;927367010;cc-caceres-guadalupe-iae@guardiacivil.org;
NAVALMORAL DE LA MATA;EXTREMADURA;CACERES;NAVALMORAL DE LA MATA;CTRA.JARANDILLA, 4;;927531095;cc-cia-navalmoralmata-iae@guardiacivil.org;
PLASENCIA;EXTREMADURA;CACERES;PLASENCIA;AVDA. JUAN CARLOS I N� 11;;927412298;cc-iae-plasencia@guardiacivil.org ;
CORIA;EXTREMADURA;CACERES;CORIA;AVD. ALFONSO VII, 62;;927500013;cc-cia-coria-iae@guardiacivil.org;
VALENCIA DE ALCANTARA;EXTREMADURA;CACERES;VALENCIA DE ALCANTARA;C/ PARQUE DE ESPA�A, S/N;;927580721;cc-iae-valenciaalcantara@guardiacivil.org;
ZONA DE ANDALUCIA;ANDALUC�A;SEVILLA;SEVILLA;AVD� LA BORBOLLA NUM. 8;;954231902;se-zon-sevilla-ia@guaridiacivil.org;
I.A.E. DE GRANADA;ANDALUC�A;GRANADA;GRANADA;C/ PEDRO MACHUCA 4-6;;958185922;gr-cmd-granada-iarmas@guardiacivil.org;
BAZA;ANDALUC�A;GRANADA;BAZA;AVDA. JOSE DE MORA, 34;;958704630;gr-iae-baza@guardiacivil.org;
GUADIX;ANDALUC�A;GRANADA;GUADIX;C/ GUA. CIVIL MIGUEL HERNANDEZ ESPIGARES N� 7;;958669079;gr-iae-guadix@guardiacivil.org;
LOJA;ANDALUC�A;GRANADA;LOJA;AVDA. DE ANDALUCIA, S/N;;958320083;gr-cia-loja-iarmas@guardiacivil.org ;
ORGIVA;ANDALUC�A;GRANADA;ORGIVA;C/ RAMON Y CAJAL, 3;;958785203;gr-iae-orgiva@guardiacivil.org;
MOTRIL;ANDALUC�A;GRANADA;MOTRIL;AVDA. SALOBRE�A, 10;;958834811;gr-iae-motril@guardiacivil.org;
I.A.E. DE ALMERIA;ANDALUC�A;ALMERIA;ALMERIA;GLORIETA MANUEL FRAGA IRIBARNE S/N;;950256122;AL-CMD-ALMERIA-IA@GUARDIACIVIL.ORG;
GARRUCHA;ANDALUC�A;ALMERIA;GARRUCHA;C/MAYOR 256;;950617080;al-cia-vera-iae-garrucha@guardiacivil.org;
EL EJIDO;ANDALUC�A;ALMERIA;EJIDO (EL);AVDA. OASIS, 177;;950489770;al-cia-elejido-iae-elejido@guardiacivil.org;
ALBOX;ANDALUC�A;ALMERIA;ALBOX;C/ANDALUCIA, 34;;950439974;al-cia-huercalovera-iae-albox@guardiacivil.org;
I.A.E. DE JAEN;ANDALUC�A;JAEN;JAEN;AVDA. EJERCITO ESPA�OL, 10;;953276967;J-CMD-JAEN-IA@GUARDIACIVIL.ORG;
BEAS DE SEGURA;ANDALUC�A;JAEN;BEAS DE SEGURA;C/ SAENZ DE QUEJANA, 46;;953458372;J-CIA-BEASSEGURA-IA@GUARDIACIVIL.ORG;
UBEDA;ANDALUC�A;JAEN;UBEDA;C/DUQUE DE AHUMADA, 2;;953750102;j-cia-baeza-ia-ubeda@guardiacivil.org;
LA CAROLINA;ANDALUC�A;JAEN;CAROLINA (LA);C/ ALFONSO VIII, 41;;953660293;j-cia-carolina-ia-carolina@guardiacivil.org ;
LINARES;ANDALUC�A;JAEN;LINARES;C/ HUESCA S/N;;953607132;j-cia-carolina-ia-linares@guardiacivil.org;
ANDUJAR;ANDALUC�A;JAEN;ANDUJAR;AVD. BLAS INFANTE,6;;953510072;j-cia-andujar-ia@guardiacivil.org;
MARTOS;ANDALUC�A;JAEN;MARTOS;AVD. PRINCIPE FELIPE, 72;;953702016;j-cia-martos-ia@guardiacivil.org;
ALCALA LA REAL;ANDALUC�A;JAEN;ALCALA LA REAL;AVDA. EUROPA, 5;;953587120;j-pto-alcalareal-ia@guardiacivil.org;
I.A.E. DE HUELVA;ANDALUC�A;HUELVA;HUELVA;C/ GUADALCANAL, 1;;959241900;H-CMD-HUELVA-IAE@GUARDIACIVIL.ORG;
CORTEGANA;ANDALUC�A;HUELVA;CORTEGANA;AVDA. DE PORTUGAL, 11;;959131787;h-cia-cortegana-ia@guardiacivil.org;
VALVERDE DEL CAMINO;ANDALUC�A;HUELVA;VALVERDE DEL CAMINO;C/ RISCO DEL TINTOR, 1;;959550006;h-cia-valverdecamino-ia@guardiacivil.org;
LA PALMA DEL CONDADO;ANDALUC�A;HUELVA;PALMA DEL CONDADO (LA);AVDA. DE SEVILLA, 105;;959402267;h-cia-palmacondado-ia@guardiacivil.org;
AYAMONTE;ANDALUC�A;HUELVA;AYAMONTE;AV. CAYETANO FEU, 45;;959320946;h-cia-ayamonte-ia@guardiacivil.org;
I.A.E. DE CORDOBA;ANDALUC�A;CORDOBA;CORDOBA;AVDA. MEDINA AZAHARA, 2;;957414111;co-cmd-cordoba-iarmas@guardiacivil.org;
PE�ARROYA-PUEBLONUEVO;ANDALUC�A;CORDOBA;PE�ARROYA-PUEBLONUEVO;C/ CONSTITUCION, 1;;957560337;co-cia-penarroyapueblonuevo-iarmas@guardiacivil.org;
POZOBLANCO;ANDALUC�A;CORDOBA;POZOBLANCO;C/ ANTONIO CABRERA, 44;;957770092;co-cia-pozoblanco-iarmas@guardiacivil.org;
MONTILLA;ANDALUC�A;CORDOBA;MONTILLA;AVENIDA DE JOSE PADILLO S/N;;957664508;co-cia-montilla-iarmas@guardiacivil.org;
LUCENA;ANDALUC�A;CORDOBA;LUCENA;AVDA. DE LA GUARDIA CIVIL, 1;;957500111;co-cia-priegocordoba-iarmas@guardiacivil.org;
I.A.E. DE SEVILLA;ANDALUC�A;SEVILLA;SEVILLA;C/ VILLANUEVA DEL PITAMO, S/N;;954939713;se-cmd-sevilla-ia@guardiacivil.org;
GERENA;ANDALUC�A;SEVILLA;GERENA;PLAZA CRUZ DEL SOLDADO, 20;;955783296;se-pto-gerena-ia@guardiacivil.org;
UTRERA;ANDALUC�A;SEVILLA;UTRERA;CALLE DUQUE DE AHUMADA NUMERO 1;;955867619;se-cia-alcalaguadaira-ia-utrera@guardiacivil.org;
SANLUCAR LA MAYOR;ANDALUC�A;SEVILLA;SANLUCAR LA MAYOR;C/ PRINCIPE DE ESPA�A, S/N;;955704825;se-cia-sanlucarmayor-ia@guardiacivil.org;
CAZALLA DE LA SIERRA;ANDALUC�A;SEVILLA;CAZALLA DE LA SIERRA;AVDA. DE LA CONSTITUCION, 68;;954883408;se-cia-cazallasierra-ia@guardiacivil.org;
CARMONA;ANDALUC�A;SEVILLA;CARMONA;PLAZA DE SAN ANTON, 9;;954141295;se-cia-carmona-ia@guardiacivil.org;
OSUNA;ANDALUC�A;SEVILLA;OSUNA;C/ ALFONSO XII, 58;;955821200;se-cia-osuna-ia@guardiacivil.org;
MORON DE LA FRONTERA;ANDALUC�A;SEVILLA;MORON DE LA FRONTERA;AVD MONTELLANO S/N;;955851048; - ;
I.A.E. DE CADIZ;ANDALUC�A;CADIZ;CADIZ;AVENIDA DE LA INDEPENDENCIA N�1;;956292549;CA-CMD-CADIZ-IA@GUARDIACIVIL.ORG;
PUERTO REAL;ANDALUC�A;CADIZ;PUERTO REAL;AVD. DE LA INDEPENDENCIA N� 1;;956292548;ca-puertoreal-ia@guardiacivil.org;
JEREZ DE LA FRONTERA;ANDALUC�A;CADIZ;JEREZ DE LA FRONTERA;PASEO DE LAS DELICIAS, 7-9;;956330362;ca-cia-jerezfrontera-ia@guardiacivil.org ;
VILLAMARTIN;ANDALUC�A;CADIZ;VILLAMARTIN;C/ VIRGEN DEL PILAR, 1;;956730009;ca-villamartin-ia@guardiacivil.org;
VEJER DE LA FRONTERA;ANDALUC�A;CADIZ;VEJER DE LA FRONTERA;C/ ZAFRA, 3;;956450079;ca-iae-vejerfrontera@guardiacivil.org;
I.A.E. DE ALGECIRAS;ANDALUC�A;CADIZ;ALGECIRAS;CTRA. CADIZ-MALAGA, KM 106;;956587212;ca-cmd-algeciras-iarmas@guardiacivil.org;
LA LINEA DE LA CONCEPCION;ANDALUC�A;CADIZ;LINEA DE LA CONCEPCION (LA);AVDA. LA BANQUETA, 8;;956172397;ca-cia-lineaconcepcion-ia@guardiacivil.org;
TARIFA;ANDALUC�A;CADIZ;TARIFA;AVDA. FUERZAS ARMADAS, 6;;956627145;ca-cia-tarifa-ia@guardiacivil.org;
I.A.E. DE MALAGA;ANDALUC�A;MALAGA;MALAGA;C/ ARROYO LOS ANGELES, 44;;952071520;ma-cmd-malaga-ia@guardiacivil.org;
VELEZ MALAGA;ANDALUC�A;MALAGA;VELEZ-MALAGA;AVDA. VIVAR TELLEZ, 51;;952558009;ma-cia-velezmalaga-ia@guardiacivil.org;
COIN;ANDALUC�A;MALAGA;COIN;CTRA. MIJAS, S/N;;952450138;ma-cia-coin-ia@guardiacivil.org;
I.A.E. COIN;ANDALUC�A;MALAGA;COIN;CTRA. MIJAS, S/N;;952450138;ma-cia-coin-ia@guardiacivil.org;
I.A.E. MARBELLA;ANDALUC�A;MALAGA;MARBELLA;PLAZA LEGANITOS, 3;;952770344;ma-cia-marbella-ia@guardiacivil.org;
MARBELLA;ANDALUC�A;MALAGA;MARBELLA;PLAZA LEGANITOS, 3;;952770344;ma-cia-marbella-ia@guardiacivil.org;
I.A.E. FUENGIROLA;ANDALUC�A;MALAGA;FUENGIROLA;C/ MALLORCA, 13;;952474030;ma-ppl-mijas-ia-especial@guardiacivil.org;
FUENGIROLA;ANDALUC�A;MALAGA;FUENGIROLA;C/ MALLORCA, 13;;952474030;ma-ppl-mijas-ia-especial@guardiacivil.org;
I.A.E. RONDA;ANDALUC�A;MALAGA;RONDA;AVDA. MALAGA, 12;;952871461;ma-cia-ronda-ia@guardiacivil.org;
RONDA;ANDALUC�A;MALAGA;RONDA;AVDA. MALAGA, 12;;952871461;ma-cia-ronda-ia@guardiacivil.org;
I.A.E. ANTEQUERA;ANDALUC�A;MALAGA;ANTEQUERA;PLAZA CONSTITUCION, 1;;952840357;ma-cia-antequera-ia@guardiacivil.org;
ANTEQUERA;ANDALUC�A;MALAGA;ANTEQUERA;PLAZA CONSTITUCION, 1;;952840357;ma-cia-antequera-ia@guardiacivil.org;
I.A.E. DE MURCIA;MURCIA;MURCIA;MURCIA;PLAZA INOCENCIO MEDINA VERA, 5;;968271262;mu-cmd-murcia-ia@guardiacivil.org;
CIEZA;MURCIA;MURCIA;CIEZA;C/ SANTIAGO, 7;;968760724;mu-cia-cieza-ia@guardiacivil.org;
CARAVACA;MURCIA;MURCIA;CARAVACA DE LA CRUZ;CARRETERA DE MURCIA, 4;;968705666;MU-CIA-CARAVACA-IA@GUARDIACIVIL.ORG;
TORRE PACHECO;MURCIA;MURCIA;TORRE-PACHECO;AVDA. GERARDO MOLINA, 41;;968336390;mu-cia-torrepacheco-ia@guardiacivil.org ;
CARTAGENA;MURCIA;MURCIA;CARTAGENA;C/ ANGEL BRUNA, 29;;968501117;mu-cia-cartagena-ia@guardiacivil.org;
LORCA;MURCIA;MURCIA;LORCA;AVD. PRESIDENTE ADOLFO SUAREZ, 12;;968477452;mu-cia-lorca-ia@guardiacivil.org;
AGUILAS;MURCIA;MURCIA;AGUILAS;C/ IBERIA, 25;;968411098;mu-ppl-aguilas-ia@guardiacivil.org;
ZONA DE VALENCIA;VALENCIA;VALENCIA;VALENCIA;C/TIGRIG 1;;963896500;v-zon-valencia-ia@guardiacivil.org;
I.A.E. DE VALENCIA;VALENCIA;VALENCIA;VALENCIA;C/CALAMOCHA, 4;;963174660;v-cmd-valencia-ia@guardiacivil.org;
SAGUNTO/SAGUNT;VALENCIA;VALENCIA;SAGUNTO;C/ GENERAL PRIM, 1;;962699228;v-cia-sagunt-ia@guardiacivil.org;
LLIRIA;VALENCIA;VALENCIA;LLIRIA;C/PLA DEL ARC, 64;;962791320;V-CIA-LLIRIA-IA@GUARDIACIVIL.ORG;
REQUENA;VALENCIA;VALENCIA;REQUENA;C/ RAFAEL DUYOS, 2;;962300006;v-cia-requena-ia@guardiacivil.org;
XATIVA;VALENCIA;VALENCIA;XATIVA;C/ACADEMICO MARAVALL, 19;;962274185;v-cia-xativa-ia@guardiacivil.org;
GANDIA;VALENCIA;VALENCIA;GANDIA;AVDA. DEL MAR, 9;;962871448;v-cia-gandia-ia@guardiacivil.org;
SUECA;VALENCIA;VALENCIA;SUECA;C/ XUQUER, 1;;961700452;V-CIA-SUECA-IA-@GUARDIACIVIL.ORG;
ALZIRA;VALENCIA;VALENCIA;ALZIRA;C/ MAYOR SANTA MARIA, 47;;962456006;V-PTF-ALZIRA-IA@GUARDIACIVIL.ORG;
PAIPORTA;VALENCIA;VALENCIA;PAIPORTA;C/VALENCIA, 34;;963973069;v-cia-paiporta-ia@guardiacivil.org;
I.A.E. DE CASTELLON DE LA PLANA;VALENCIA;CASTELLON;CASTELLON DE LA PLANA;C/BENICARLO, 21-D;;964224600;cs-cmd-castellon-ia@guardiacivil.org;
VINAROZ;VALENCIA;CASTELLON;VINAROS;AVDA. CASTELLON, 15;;964407140;cs-cia-vinaroz-ia@guardiacivil.org;
BURRIANA;VALENCIA;CASTELLON;BURRIANA;C/CAPITAN CORTES, 1;;964517402;cs-cia-burriana-ia@guardiacivil.org;
SEGORBE;VALENCIA;CASTELLON;SEGORBE;AVDA. NAVARRO REVERTER, 15;;964711206;CS-PTO-SEGORBE-IA@GUARDIACIVIL.ORG;
I.A.E. DE ALICANTE;VALENCIA;ALICANTE;ALICANTE;C/SAN VICENTE, 52;;965145660;a-cmd-alicante-ia@guardiacivil.org;
IBI;VALENCIA;ALICANTE;IBI;C/CASTALLA, 2;;966553521;A-CIA-IBI-IA@GUARDIACIVIL.ORG;
VILLENA;VALENCIA;ALICANTE;VILLENA;AVDA. CONSTITUCION, 218;;965346058;a-iae-villena@guardiacivil.org;
ELDA;VALENCIA;ALICANTE;ELDA;C/LAMBERTO AMAT, 24;;965380964;a-cia-ibi-ia-elda@guardiacivil.org;
TORREVIEJA;VALENCIA;ALICANTE;TORREVIEJA;C/ PATRICIO ZAMMIT, 52;;965710113;a-cia-torrevieja-ia@guardiacivil.org;
ORIHUELA;VALENCIA;ALICANTE;ORIHUELA;C/ATANAGILDO, 7;;965300139;a-cia-torrevieja-ia-orihuela@guardiacivil.org;
SAN VICENTE DEL RASPEIG;VALENCIA;ALICANTE;SAN VICENTE DEL RASPEIG;C/POETA MIGUEL HERNANDEZ, 24;;965675814;a-cia-sanvicenteraspeig-ia@guardiacivil.org;
ELCHE;VALENCIA;ALICANTE;ELCHE;C/ MANGRANER, 7;;965451082;a-cia-sanvicenteraspeig-ia-elche@guardiacivil.org;
DENIA;VALENCIA;ALICANTE;DENIA;AVDA. GANDIA, 27;;965780037;a-cia-calpe-ia-denia@guardiacivil.org;
BENIDORM;VALENCIA;ALICANTE;BENIDORM;C/CAPITAN CORTES, 2;;965854030; - ;
ZONA DE CATALU�A;CATALU�A;BARCELONA;BARCELONA;TRAVESERA DE GRACIA, 291;;934570622;b-zon-barcelona-ia@guardiacivil.org;
I.A.E. DE BARCELONA (S.ANDRES B.);CATALU�A;BARCELONA;SANT ANDREU DE LA BARCA;CAMI VELL DEL PALAU, S/N;;936823030;b-cmd-barcelona-ia@guardiacivil.org;
BARCELONA (CAPITAL);CATALU�A;BARCELONA;BARCELONA;C/TRAVESERA DE GRACIA, 291;;934570622;b-cmd-barcelona-iae@guardiacivil.org;
